Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2011-12;FIN;1;-10;;;;1;0;0;Finlande;Finland;Finlandia;فنلندا;فنلاند;UE Balkans
2011-12;NOR;2;-10;;;;3;0;1;Norvège;Norway;Noruega;النرويج;نروژ;UE Balkans
2011-12;EST;3;-9;;;;9;2;6;Estonie;Estonia;Estonia;إستونيا;استونی;UE Balkans
2011-12;NLD;4;-9;;;;4;0;0;Pays-Bas;Netherlands;Países Bajos;هولندا;هلند;UE Balkans
2011-12;AUT;5;-8;;;;7;0,5;2;Autriche;Austria;Austria;النمسا;اتریش;UE Balkans
2011-12;ISL;6;-7;;;;2;0;-4;Islande;Iceland;Islandia;أيسلندا;ایسلند;UE Balkans
2011-12;LUX;7;-7;;;;15;4;8;Luxembourg;Luxembourg;Luxemburgo;لوكسمبورغ;لوکزامبورگ;UE Balkans
2011-12;CHE;8;-6,2;;;;6;0;-2;Suisse;Switzerland;Suiza;سويسرا;سويیس;UE Balkans
2011-12;CPV;9;-6;;;;26;8;17;Cap-Vert;Cape Verde;Cabo Verde;الرأس الأخضر;کیپورد;Afrique
2011-12;CAN;10;-5,67;;;;21;7;11;Canada;Canada;Canadá;كندا;کانادا;Amériques
2011-12;DNK;11;-5,67;;;;11;2,5;0;Danemark;Denmark;Dinamarca;الدنمارك;دانمارک;UE Balkans
2011-12;SWE;12;-5,5;;;;5;0;-7;Suède;Sweden;Suecia;السويد;سوئد;UE Balkans
2011-12;NZL;13;-5,33;;;;8;1,5;-5;Nouvelle-Zélande;New Zealand;Nueva Zelanda;نيوزيلاندا;زلاند نو;Asie-Pacifique
2011-12;CZE;14;-5;;;;24;7,5;10;République tchèque;Czech Republic;República Checa;جمهورية التشيك;جمهوری چک;UE Balkans
2011-12;IRL;15;-4;;;;10;2;-5;Irlande;Ireland;Irlanda;أيرلندا;ایرلند;UE Balkans
2011-12;CYP;16;-3;;;;45;13,4;29;Chypre;Cyprus;Chipre;قبرص;قبرس;UE Balkans
2011-12;JAM;17;-3;;;;25;7,67;8;Jamaïque;Jamaica;Jamaica;جامايكا;جامائیکا;Amériques
2011-12;DEU;18;-3;;;;17;4,25;-1;Allemagne;Germany;Alemania;ألمانيا;آلمان;UE Balkans
2011-12;CRI;19;-2,25;;;;29;8,08;10;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;Amériques
2011-12;BEL;20;-2;;;;14;4;-6;Belgique;Belgium;Bélgica;بلجيكا;بلژیک;UE Balkans
2011-12;NAM;21;-2;;;;22;7;1;Namibie;Namibia;Namibia;ناميبيا;نامیبیا;Afrique
2011-12;JPN;22;-1;;;;12;2,5;-10;Japon;Japan;Japón;اليابان;ژاپن;Asie-Pacifique
2011-12;SUR;23;-1;;;;36;11,5;13;Suriname;Suriname;Surinam;سورينام;سورینام;Amériques
2011-12;POL;24;-0,67;;;;32;8,88;8;Pologne;Poland;Polonia;بولندا;لهستان;UE Balkans
2011-12;MLI;25;0;;;;28;8;3;Mali;Mali;Malí;مالي;مالی;Afrique
2011-12;XCD;26;0;;;;57;16,5;31;OECS;OECS;OECS;الكاريبي;جزایر کارائیب شرقی;Amériques
2011-12;SVK;27;0;;;;35;11,5;8;Slovaquie;Slovakia;Eslovaquia;سلوفاكيا;اسلواکی;UE Balkans
2011-12;GBR;28;2;;;;19;6;-9;Royaume-Uni;United Kingdom;Reino Unido;المملكة المتحدة;بریتانیا;UE Balkans
2011-12;NER;29;2,5;;;;106;28,5;77;Niger;Niger;Niger;النيجر;نیجر;Afrique
2011-12;AUS;30;4;;;;18;5,38;-12;Australie;Australia;Australia;أستراليا;استرالیا;Asie-Pacifique
2011-12;LTU;31;4;;;;13;2,5;-18;Lituanie;Lithuania;Lituania;ليتوانيا;لیتوانی;UE Balkans
2011-12;URY;32;4,25;;;;37;11,75;5;Uruguay;Uruguay;Uruguay;أوروغواي;اروگويه;Amériques
2011-12;PRT;33;5,33;;;;40;12,36;7;Portugal;Portugal;Portugal;البرتغال;پرتغال;UE Balkans
2011-12;TZA;34;6;;;;41;13;7;Tanzanie;Tanzania;Tanzania;تنزانيا;تانزانیا;Afrique
2011-12;PNG;35;9;;;;43;13,33;8;Papouasie-Nouvelle-Guinée;Papua New Guinea;Papúa Nueva Guinea;بابوا غينيا الجديدة;پاپوآ گینه نو;Asie-Pacifique
