ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
MEX;47,98;128;55,38;88;47,35;85;66,32;75;47,16;142;23,68;174;Amériques;Mexique;Mexico;México;México ;المكسيك;مکزیک;2023;127;-1;47,57;0,41
SGP;47,88;129;38,75;155;42,4;116;27,36;168;51,99;132;78,89;74;Asie-Pacifique;Singapour;Singapore;Singapur;Cingapura ;سنغافورة;سنگاپور;2023;139;10;44,23;3,65
ETH;47,7;130;50,25;111;43,14;113;62,64;89;43,64;146;38,82;146;Afrique;Éthiopie;Ethiopia;Etiopía;Etiópia ;أثيوبيا;اتیوپی;2023;114;-16;50,53;-2,83
RWA;46,58;131;40;149;34,8;151;58,87;101;58,33;110;40,91;143;Afrique;Rwanda;Rwanda;Ruanda;Ruanda ;رواندا;روندا;2023;136;5;45,18;1,4
PHL;46,21;132;43,96;135;40,2;122;52,2;120;57,39;114;37,3;148;Asie-Pacifique;Philippines;Philippines;Filipinas;Filipinas ;الفلبين;فلیپین;2023;147;15;41,84;4,37
UGA;46,08;133;45,75;129;39,8;126;54,34;118;60;100;30,52;164;Afrique;Ouganda;Uganda;Uganda;Uganda ;أوغندا;اوگاندا;2023;132;-1;46,35;-0,27
KAZ;45,87;134;44,06;134;36,03;143;44,34;139;59,37;104;45,54;133;EEAC;Kazakhstan;Kazakhstan;Kazajistán;Cazaquistão ;كازاخستان;قزاقستان;2023;122;-12;48,28;-2,41
LKA;45,85;135;40,94;146;48,53;76;43,4;143;42,05;148;54,32;116;Asie-Pacifique;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka ;سري لانكا;سریلانکا;2023;146;11;42,13;3,72
DZA;45,74;136;42,14;142;36,13;141;46,09;136;52,6;129;51,72;122;MENA;Algérie;Algeria;Argelia;Argélia ;الجزائر;الجزایر;2023;134;-2;45,53;0,21
UZB;45,73;137;45,52;132;38,4;132;52,2;120;43,56;147;48,98;127;EEAC;Ouzbékistan;Uzbekistan;Uzbekistán;Uzbequistão ;أوزبكستان;اوزبکستان;2023;133;-4;45,74;-0,01
CMR;45,58;138;42,5;141;35,99;144;44,07;141;58,77;107;46,58;131;Afrique;Cameroun;Cameroon;Camerún;Camarões ;الكاميرون;کامرون;2023;118;-20;49,1;-3,52
COL;45,23;139;55,63;84;35,05;149;64,1;83;37,37;156;34,01;155;Amériques;Colombie;Colombia;Colombia;Colômbia ;كولومبيا;کلمبیا;2023;145;6;42,43;2,8
HKG;44,86;140;40,43;148;45,89;95;38,32;150;56,51;118;43,15;135;Asie-Pacifique;Hong Kong;Hong Kong;Hong Kong;Hong Kong ;هونغ كونغ;هنگ کنگ;2023;148;8;41,64;3,22
SOM;44,24;141;53,44;98;44,49;108;43,63;142;51,14;133;28,5;169;Afrique;Somalie;Somalia;Somalia;Somália ;الصومال;سومالی;2023;140;-1;44,01;0,23
BRN;44,2;142;49,84;113;34,8;151;30,66;162;29,88;170;75,83;82;Asie-Pacifique;Brunei;Brunei;Brunéi;Brunei ;بروناي;برونی;2023;144;2;42,53;1,67
TZA;44,02;143;42,97;138;33,33;157;31,6;159;53,41;128;58,78;107;Afrique;Tanzanie;Tanzania;Tanzania;Tanzânia ;تنزانيا;تانزانیا;2023;123;-20;48,28;-4,26
MAR;43,69;144;39,92;151;30,62;164;48,97;129;56,87;117;42,07;139;MENA;Maroc / Sahara occidental;Morocco / Western Sahara ;Marruecos / Sáhara Occidental;Marrocos / Saara Ocidental ;المغرب/الصحراء الغربية;مراکش/صحرای غربی;2023;135;-9;45,42;-1,73
ARE;42,99;145;45,63;130;45,1;100;36,79;153;30,68;165;56,77;110;MENA;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;Emirados Árabes Unidos ;الإمارات العربية المتحدة;امارات متحده عربی;2023;138;-7;44,46;-1,47
JOR;42,79;146;47,71;125;34,64;153;37,74;152;32,2;164;61,68;101;MENA;Jordanie;Jordan;Jordania;Jordânia ;الأردن;اردن;2023;120;-26;48,66;-5,87
KHM;42,02;147;38,5;156;27,84;171;46,42;135;57,27;115;40,05;144;Asie-Pacifique;Cambodge;Cambodia;Camboya;Cambodja ;كمبوديا;کامبوج;2023;142;-5;43,48;-1,46
SDN;40,83;148;42,08;143;28,43;169;31,45;160;40,15;149;62,05;99;Afrique;Soudan;Sudan;Sudán;Sudão ;السودان;سودان;2023;151;3;40,96;-0,13
LBY;40,22;149;49;118;34,31;154;30,19;163;45,23;144;42,36;138;MENA;Libye;Libya;Libia;Líbia ;ليبيا;لیبی;2023;143;-6;43,16;-2,94
PAK;39,95;150;42,71;139;37,25;136;48,11;130;48,11;140;23,57;176;Asie-Pacifique;Pakistan;Pakistan;Pakistán;Paquistão ;باكستان;پاکستان;2023;157;7;37,99;1,96
AZE;39,93;151;35,45;165;25,91;173;38,95;149;50;135;49,35;126;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;أذربيجان;آذربایجان;2023;154;3;39,4;0,53
AFG;39,75;152;48,96;120;44,93;103;42,77;145;30,68;165;31,41;161;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;أفغانستان;افغانستان;2023;156;4;38,27;1,48
TJK;39,06;153;34,17;167;37,09;137;51,57;123;36,17;160;36,3;149;EEAC;Tadjikistan;Tajikistan;Tayikistán;Tajiquistão ;طاجيكستان;تاجیکستان;2023;152;-1;40,26;-1,2
KWT;38,84;154;41,25;145;24,51;177;30,19;163;20,45;176;77,78;78;MENA;Koweït;Kuwait;Kuwait;Kuwait ;الكويت;کویت;2023;158;4;37,87;0,97
OMN;37,87;155;36,25;161;33,82;156;15,09;179;38,07;155;66,11;97;MENA;Oman;Oman;Omán;Omã ;عمان;عمان;2023;163;8;35,99;1,88
PSE;37,86;156;40,47;147;40,2;122;44,34;139;36,36;158;27,95;170;MENA;Palestine;Palestine;Palestina;Palestina ;فلسطين;فلسطین;2023;170;14;28,98;8,88
BLR;37,17;157;32,34;174;47,67;82;28,07;167;48,3;139;29,45;168;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;روسيا البيضاء;روسیه سفید;2023;153;-4;39,62;-2,45
NIC;37,09;158;35,81;163;45,49;98;28,21;166;44,32;145;31,65;160;Amériques;Nicaragua;Nicaragua;Nicaragua;Nicarágua ;نيكاراغوا;نیکاراگوئه;2023;160;2;37,09;0
VEN;36,99;159;34,89;166;35,74;145;34,82;155;38,53;153;40,96;142;Amériques;Venezuela;Venezuela;Venezuela;Venezuela ;فنزويلا;ونزوئلا;2023;159;0;37,78;-0,79
LAO;36,66;160;36,04;162;33,33;157;25,47;169;38,26;154;50,19;125;Asie-Pacifique;Laos;Laos;Laos;Laos ;لاوس;لائوس;2023;161;1;36,64;0,02
IND;36,62;161;33,65;169;34,15;155;42,92;144;45,27;143;27,12;172;Asie-Pacifique;Inde;India;India;Índia ;الهند;هند;2023;150;-11;41;-4,38
DJI;35,87;162;39,25;152;25,49;174;34,53;157;28,18;172;51,9;121;Afrique;Djibouti;Djibouti;Yibuti;Djibuti ;جيبوتي;جیبوتی;2023;164;2;35,75;0,12
BGD;35,31;163;39,06;154;36,11;142;35,22;154;36,55;157;29,6;167;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;بنغلاديش;بنگلادش;2023;162;-1;36,63;-1,32
RUS;34,77;164;32,43;173;36,17;140;34,51;158;38,94;152;31,82;159;EEAC;Russie;Russia;Rusia;Rússia ;روسيا;روسیه;2023;155;-9;38,82;-4,05
TUR;33,97;165;36,56;160;29,41;168;41,16;146;30,11;167;32,58;157;EEAC;Turquie;Türkiye;Turquía;Turquia ;تركيا;ترکیه;2023;149;-16;41,25;-7,28
EGY;33,37;166;29,63;176;31,96;162;34,72;156;39,55;151;31,02;162;MENA;Égypte;Egypt;Egipto;Egito ;مصر;مصر;2023;168;2;30,23;3,14
IRQ;32,94;167;39,25;152;28,04;170;31,13;161;36,36;158;29,9;165;MENA;Irak;Iraq;Irak;Iraque ;العراق;عراق;2023;172;5;28,59;4,35
YEM;32,78;168;37,5;158;30,39;166;40,57;147;34,09;161;21,37;178;MENA;Yémen;Yemen;Yemen;Iêmen ;اليمن;یمن;2023;169;1;29,14;3,64
HND;32,65;169;40;149;33,33;157;39,94;148;22,37;175;27,61;171;Amériques;Honduras;Honduras;Honduras;Honduras ;هندوراس;هندوراس;2023;165;-4;34,61;-1,96
SAU;32,43;170;37,19;159;33,33;157;21,7;174;30,11;167;39,8;145;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;المملكة العربية السعودية;عربستان سعودی;2023;166;-4;33,71;-1,28
BHR;30,59;171;30,63;175;25,25;176;21,93;173;33,52;162;41,64;141;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;البحرين;بحرین;2023;167;-4;30,97;-0,38
CUB;29;172;32,85;172;35,73;146;14,36;180;29,94;169;32,14;158;Amériques;Cuba;Cuba;Cuba;Cuba ;كوبا;کوبا;2023;173;1;27,32;1,68
MMR;28,26;173;35,75;164;40,98;120;20,19;175;24,77;174;19,6;180;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;بورما;برمه;2023;176;3;25,03;3,23
ERI;27,86;174;33,13;171;26,96;172;23,43;171;26,16;173;29,61;166;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;إريتريا;اریتره;2023;179;5;19,62;8,24
SYR;27,22;175;33,65;169;25,49;174;24,34;170;29,55;171;23,07;177;MENA;Syrie;Syria;Siria;Síria ;سوريا;سوریه;2023;171;-4;28,94;-1,72
TKM;25,82;176;23,25;180;20,39;179;29,62;165;9,32;179;46,53;132;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;تركمانستان;ترکمنستان;2023;177;1;25,01;0,81
IRN;24,81;177;33,67;168;30,51;165;20,17;176;16,06;178;23,62;175;MENA;Iran;Iran;Irán;Irã ;إيران;ایران;2023;178;1;23,22;1,59
VNM;24,58;178;23,75;179;17,16;180;18,4;177;32,95;163;30,66;163;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;فيتنام;ویتنام;2023;174;-4;26,11;-1,53
CHN;22,97;179;26,06;178;29,51;167;17,36;178;17,07;177;24,87;173;Asie-Pacifique;Chine;China;China;China ;الصين;چین;2023;175;-4;25,17;-2,2
PRK;21,72;180;26,56;177;21,57;178;22,64;172;4,6;180;33,25;156;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;كوريا الشمالية;کره شمالی;2023;180;0;13,92;7,8
