ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
AUS;78,24;27;83,85;18;68,49;26;69,41;63;81,98;35;87,46;33;Asie-Pacifique;Australie;Australia;Australia;Austrália ;أستراليا;استرالیا;2023;39;12;73,77;4,47
MDA;77,62;28;79,24;23;57,95;44;83,12;14;85,86;26;81,91;61;EEAC;Moldavie;Moldova;Moldavia;Moldávia ;مولدوفا;مولداوی;2023;40;12;73,47;4,15
AUT;77,3;29;74,01;33;61,85;32;77,32;39;84,14;29;89,2;26;UE Balkans;Autriche;Austria;Austria;Áustria ;النمسا;اتریش;2023;31;2;76,74;0,56
TTO;76,54;30;71,25;40;60,78;34;64,15;81;92,05;5;94,44;6;Amériques;Trinité-et-Tobago;Trinidad and Tobago;Trinidad y Tobago;Trinidad e Tobago ;ترينيداد وتوباغو;ترنتی و توبوگو;2023;25;-5;78,68;-2,14
BEL;76,47;31;79,06;24;62,09;31;78,3;36;82,39;33;80,53;65;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;بلجيكا;بلژیک;2023;23;-8;78,86;-2,39
JAM;75,89;32;67,75;43;71,37;19;68,49;65;86,59;23;85,24;39;Amériques;Jamaïque;Jamaica;Jamaica; Jamaica ;جامايكا;جامائیکا;2023;12;-20;83,35;-7,46
CPV;75,72;33;73,86;34;60,78;34;73,76;49;80,17;42;90,01;25;Afrique;Cap-Vert;Cabo Verde;Cabo Verde;Cabo Verde ;الرأس الأخضر;کیپورد;2023;36;3;75,37;0,35
SYC;75,71;34;74,38;32;59,41;38;76,98;43;80,23;41;87,56;32;Afrique;Seychelles;Seychelles;Seychelles;Seychelles ;سيشيل;سی‌شل;2023;13;-21;83,33;-7,62
TWN;75,54;35;73,83;35;53,4;55;80,75;25;77,65;51;92,06;13;Asie-Pacifique;Taïwan;Taiwan;Taiwán;Taiwan ;تايوان;تایوان;2023;38;3;74,08;1,46
ESP;75,37;36;72,12;38;60,33;37;78,74;33;83,13;31;82,51;55;UE Balkans;Espagne;Spain;España;Espanha ;إسبانيا;اسپانیا;2023;32;-4;76,71;-1,34
