ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Situation;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
KHM;34,28;151;20,21;163;27,55;168;36,32;152;32,54;158;54,8;122;Situation très grave;Asie-Pacifique;Cambodge;Cambodia;Camboya;Cambodja ;كمبوديا;کامبوج;2024;147;-4;42,02;-7,74
PAK;33,9;152;29,17;151;33,73;147;42,97;138;37,73;148;25,88;169;Situation très grave;Asie-Pacifique;Pakistan;Pakistan;Pakistán;Paquistão ;باكستان;پاکستان;2024;150;-2;39,95;-6,05
LAO;33,76;153;25;155;40,1;113;31,01;159;30,36;160;42,33;135;Situation très grave;Asie-Pacifique;Laos;Laos;Laos;Laos ;لاوس;لائوس;2024;160;7;36,66;-2,9
YEM;33,67;154;33,91;135;28,33;166;40;144;31,43;159;34,67;154;Situation très grave;MENA;Yémen;Yemen;Yemen;Iêmen ;اليمن;یمن;2024;168;14;32,78;0,89
TJK;33,31;155;27,26;153;31,64;159;38,34;147;30,21;161;39,1;145;Situation très grave;EEAC;Tadjikistan;Tajikistan;Tayikistán;Tajiquistão ;طاجيكستان;تاجیکستان;2024;153;-2;39,06;-5,75
VEN;33,06;156;17,68;170;31,63;160;37,33;151;38,74;142;39,91;144;Situation très grave;Amériques;Venezuela;Venezuela;Venezuela;Venezuela ;فنزويلا;ونزوئلا;2024;159;3;36,99;-3,93
PSE;31,92;157;31,04;146;33,51;149;39,1;146;35,52;155;20,44;175;Situation très grave;MENA;Palestine;Palestine;Palestina;Palestina ;فلسطين;فلسطین;2024;156;-1;37,86;-5,94
TUR;31,6;158;20,02;165;28,91;165;37,38;150;37,05;150;34,63;155;Situation très grave;EEAC;Turquie;Türkiye;Turquía;Turquia ;تركيا;ترکیه;2024;165;7;33,97;-2,37
IND;31,28;159;21,58;159;31,67;157;40,87;143;33,33;156;28,97;162;Situation très grave;Asie-Pacifique;Inde;India;India;Índia ;الهند;هند;2024;161;2;36,62;-5,34
ARE;30,62;160;21,16;160;42,5;98;26,54;169;29,52;166;33,39;157;Situation très grave;MENA;Émirats arabes unis;United Arab Emirates;Emiratos Árabes Unidos;Emirados Árabes Unidos ;الإمارات العربية المتحدة;امارات متحده عربی;2024;145;-15;42,99;-12,37
DJI;30,14;161;24,12;156;26,74;169;30,63;161;29,08;168;40,13;143;Situation très grave;Afrique;Djibouti;Djibouti;Yibuti;Djibuti ;جيبوتي;جیبوتی;2024;162;1;35,87;-5,73
RUS;29,86;162;19,88;166;33,72;148;31,43;157;37,28;149;27;168;Situation très grave;EEAC;Russie;Russia;Rusia;Rússia ;روسيا;روسیه;2024;164;2;34,77;-4,91
NIC;29,2;163;17,23;172;34,03;145;30,34;163;36,64;152;27,77;164;Situation très grave;Amériques;Nicaragua;Nicaragua;Nicaragua;Nicarágua ;نيكاراغوا;نیکاراگوئه;2024;158;-5;37,09;-7,89
AZE;27,99;164;17,08;173;18,01;179;35,85;154;37,76;147;31,27;159;Situation très grave;EEAC;Azerbaïdjan;Azerbaijan;Azerbaiyán;Azerbaijão ;أذربيجان;آذربایجان;2024;151;-13;39,93;-11,94
BGD;27,64;165;19,36;167;27,83;167;31,32;158;32,65;157;27,03;167;Situation très grave;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;بنغلاديش;بنگلادش;2024;163;-2;35,31;-7,67
SAU;27,14;166;21,01;161;40,36;111;20,43;173;30,06;163;23,84;173;Situation très grave;MENA;Arabie Saoudite;Saudi Arabia;Arabia Saudita;Arábia Saudita ;المملكة العربية السعودية;عربستان سعودی;2024;170;4;32,43;-5,29
BLR;26,8;167;15,94;175;36,34;132;18,8;176;38,69;143;24,21;171;Situation très grave;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;روسيا البيضاء;روسیه سفید;2024;157;-10;37,17;-10,37
CUB;25,63;168;14,86;176;24,48;171;15,63;180;30,16;162;43,05;134;Situation très grave;Amériques;Cuba;Cuba;Cuba;Cuba ;كوبا;کوبا;2024;172;4;29;-3,37
IRQ;25,48;169;20,65;162;22,14;173;26,44;170;29,46;167;28,69;163;Situation très grave;MENA;Irak;Iraq;Irak;Iraque ;العراق;عراق;2024;167;-2;32,94;-7,46
EGY;25,1;170;16,1;174;24,69;170;29,81;164;27,62;171;27,27;166;Situation très grave;MENA;Égypte;Egypt;Egipto;Egito ;مصر;مصر;2024;166;-4;33,37;-8,27
MMR;24,41;171;22,17;158;31,67;157;18,75;177;30;164;19,48;177;Situation très grave;Asie-Pacifique;Birmanie;Myanmar;Birmania;Birmânia ;بورما;برمه;2024;173;2;28,26;-3,85
CHN;23,36;172;19,14;168;29,65;163;22,28;172;21,79;173;23,93;172;Situation très grave;Asie-Pacifique;Chine;China;China;China ;الصين;چین;2024;179;7;22,97;0,39
BHR;23,21;173;17,46;171;20,92;174;19,81;175;20,7;175;37,15;150;Situation très grave;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;البحرين;بحرین;2024;171;-2;30,59;-7,38
VNM;22,31;174;13,22;178;20,57;176;28,37;166;23,51;172;25,86;170;Situation très grave;Asie-Pacifique;Vietnam;Vietnam;Vietnam;Vietnã ;فيتنام;ویتنام;2024;178;4;24,58;-2,27
TKM;22,01;175;13,22;178;17,88;180;30,93;160;15,67;180;32,32;158;Situation très grave;EEAC;Turkménistan;Turkmenistan;Turkmenistán;Turcomenistão ;تركمانستان;ترکمنستان;2024;176;1;25,82;-3,81
IRN;21,3;176;23,19;157;23,44;172;20,03;174;19,84;176;20,02;176;Situation très grave;MENA;Iran;Iran;Irán;Irã ;إيران;ایران;2024;177;1;24,81;-3,51
PRK;20,66;177;18,04;169;20,59;175;26,82;167;17,27;178;20,57;174;Situation très grave;Asie-Pacifique;Corée du Nord;North Korea;Corea del Norte;Coreia do Norte ;كوريا الشمالية;کره شمالی;2024;180;3;21,72;-1,06
AFG;19,09;178;20,07;164;29,06;164;16,35;179;16,07;179;13,9;179;Situation très grave;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;أفغانستان;افغانستان;2024;152;-26;39,75;-20,66
SYR;17,41;179;14,35;177;19,69;177;23,75;171;17,72;177;11,55;180;Situation très grave;MENA;Syrie;Syria;Siria;Síria ;سوريا;سوریه;2024;175;-4;27,22;-9,81
ERI;16,64;180;12,75;180;18,54;178;16,92;178;20,71;174;14,26;178;Situation très grave;Afrique;Érythrée;Eritrea;Eritrea;Eritreia ;إريتريا;اریتره;2024;174;-6;27,86;-11,22
